Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
8/31/2018,61900,10706,NY,New York-Newark-Jersey City,Westchester,Hastings on Hudson,9253,749400,-0.004516472,-0.006100796,0.004153826,0.044965309,0.018364111,2017-02,2017-Q1,764700,-0.020007846,2016-11
8/31/2018,71303,30742,GA,Chattanooga,Catoosa,Fort Oglethorpe,9254,116300,0.000860585,0.001722653,0.078849722,0.052195082,0.012525284,2018-08,2018-Q3,116300,0,2018-08
8/31/2018,88572,70392,LA,Morgan City,Saint Mary,Patterson,9255,109800,0.001824818,-0.000909918,-0.021390374,0.025734996,,2017-08,2017-Q3,112200,-0.021390374,2016-10
8/31/2018,87868,68118,NE,Omaha-Council Bluffs,Douglas,Omaha,9256,279900,-0.001427042,0.004666188,0.066285714,0.041944621,0.027341976,2018-07,2018-Q3,280300,-0.001427042,2018-06
8/31/2018,60686,7463,NJ,New York-Newark-Jersey City,Bergen,Waldwick,9257,435000,-0.002293578,-0.00752909,0.004618938,0.016613008,-0.001527321,2006-07,2006-Q3,498200,-0.126856684,2005-02
8/31/2018,73597,35759,AL,Huntsville,Madison,Meridianville,9258,174300,-0.008532423,-0.010783201,0.088694566,,,2018-06,2018-Q2,176500,-0.012464589,2018-04
8/31/2018,71842,32179,FL,Ocala,Marion,Ocklawaha,9259,117500,0.003415884,0.002559727,0.08897127,0.088201771,0.001718255,2006-10,2006-Q4,148800,-0.210349462,2005-11
8/31/2018,77456,45123,OH,,Highland,Greenfield,9260,64200,-0.00155521,0.006269592,0.035483871,0.003822985,-0.010962522,2007-06,2007-Q2,76100,-0.156373193,2002-08
8/31/2018,81203,53086,WI,Milwaukee-Waukesha-West Allis,Washington,Slinger,9261,253600,-0.002360346,-0.003144654,0.027136493,0.043773536,0.013808786,2018-06,2018-Q2,254800,-0.004709576,2018-05
8/31/2018,81235,53130,WI,Milwaukee-Waukesha-West Allis,Milwaukee,Hales Corners,9262,258200,-0.002703747,-0.013750955,0.03197442,0.029893211,0.010874535,2018-03,2018-Q1,262800,-0.017503805,2018-01
8/31/2018,61928,10927,NY,New York-Newark-Jersey City,Rockland,Haverstraw,9263,221600,-0.002251238,0.020727775,0.12716175,0.050842951,-0.025491394,2007-05,2007-Q2,345400,-0.358425014,2003-05
8/31/2018,71247,30633,GA,Athens-Clarke County,Madison,Danielsville,9264,119900,-0.000833333,0.002508361,0.049912434,0.062133514,0.009206842,2018-07,2018-Q3,120000,-0.000833333,2018-06
8/31/2018,74586,38011,TN,Memphis,Tipton,Brighton,9265,144300,-0.000692521,0.008385744,0.099009901,0.047831688,0.016800799,2018-07,2018-Q3,144400,-0.000692521,2018-07
8/31/2018,97879,94939,CA,San Francisco-Oakland-Hayward,Marin,Larkspur,9266,1620800,-0.001417041,-0.00356572,0.045070604,0.060175361,0.038148759,2018-06,2018-Q2,1627700,-0.00423911,2018-05
8/31/2018,85299,62062,IL,St. Louis,Madison,Maryville,9267,203700,0,0.000982801,0.053257497,0.032292896,0.009849848,2018-06,2018-Q2,203800,-0.000490677,2018-06
8/31/2018,78191,46574,IN,,Starke,Walkerton,9268,115000,0,0.014109347,0.101532567,0.041817504,0.009620488,2018-08,2018-Q3,115000,0,2018-08
8/31/2018,60895,7981,NJ,New York-Newark-Jersey City,Morris,Hanover,9269,507600,0,0.007342727,0.068856601,0.038810656,0.003530813,2006-05,2006-Q2,509800,-0.004315418,2006-03
8/31/2018,66012,19565,PA,Reading,Berks,Wernersville,9270,187800,-0.00106383,-0.001594896,0.02510917,0.031365172,0.004135061,2018-04,2018-Q2,188200,-0.002125399,2018-03
8/31/2018,65750,19079,PA,Philadelphia-Camden-Wilmington,Delaware,Sharon Hill,9271,93900,-0.00106383,0.010764263,0.095682614,0.025975781,-0.019123823,2009-05,2009-Q2,115300,-0.185602775,2005-04
8/31/2018,97480,93924,CA,Salinas,Monterey,Carmel Valley,9272,1014300,-0.000886525,0.006649464,0.085509418,0.069122177,0.020999575,2005-08,2005-Q3,1018800,-0.004416961,2005-06
8/31/2018,84916,61341,IL,Ottawa-Peru,La Salle,Marseilles,9273,116100,0.002590674,0.029255319,0.055454545,0.024278518,-0.008791602,2007-04,2007-Q2,135100,-0.140636566,2005-03
8/31/2018,58483,1772,MA,Worcester,Worcester,Southborough,9274,644500,-0.001858448,-0.00983254,0.027419098,0.047852229,0.024290923,2018-01,2018-Q1,657200,-0.019324407,2017-11
8/31/2018,80207,50201,IA,Ames,Story,Nevada,9275,156200,-0.001278772,-0.001916933,0.044117647,0.040683692,0.022401454,2018-06,2018-Q2,156900,-0.00446144,2018-05
8/31/2018,88592,70437,LA,New Orleans-Metairie,Saint Tammany,Folsom,9276,185200,-0.003229279,0.028317601,0.053469852,0.045865539,0.014924197,2017-04,2017-Q2,186200,-0.005370569,2017-03
8/31/2018,63534,14454,NY,Rochester,Livingston,Geneseo,9277,177700,-0.003365115,-0.004481793,0.042228739,0.025533736,0.018571855,2018-06,2018-Q2,178700,-0.005595971,2018-05
8/31/2018,71012,30290,GA,Atlanta-Sandy Springs-Roswell,Fayette,Tyrone,9278,287800,-0.006901311,-0.003807546,0.03487954,0.070475299,0.010802826,2018-06,2018-Q2,290700,-0.00997592,2018-05
8/31/2018,75383,39652,MS,McComb,Pike,Magnolia,9279,101200,-0.000987167,0.036885246,0.077742279,0.04787529,0.023530089,2018-07,2018-Q3,101300,-0.000987167,2018-07
8/31/2018,82060,55041,MN,Rochester,Wabasha,Lake City,9280,202600,0.000493827,-0.003933137,0.018090452,0.043100878,0.013844134,2018-03,2018-Q1,203800,-0.005888126,2018-01
8/31/2018,94989,85603,AZ,Sierra Vista-Douglas,Cochise,Bisbee,9281,94100,0.003198294,-0.004232804,0.084101382,0.025639084,-0.004756395,2010-02,2010-Q1,110800,-0.150722022,2006-02
8/31/2018,74453,37738,TN,Sevierville,Sevier,Gatlinburg,9282,155300,-0.003848621,0.017693316,0.040884718,0.029852712,-0.005749416,2006-05,2006-Q2,184400,-0.157809111,2004-04
8/31/2018,69973,28463,NC,,Columbus,Tabor City,9283,85200,0.001175088,0.010676157,-0.044843049,0.035393215,0.006569277,2017-09,2017-Q3,90300,-0.056478405,2017-02
8/31/2018,97939,95033,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara,Lexington Hills,9284,1212900,0.002893997,0.019843605,0.110714286,0.084128993,0.040899431,2018-08,2018-Q3,1212900,0,2018-08
8/31/2018,65794,19127,PA,Philadelphia-Camden-Wilmington,Philadelphia,Philadelphia,9285,225600,-0.002211411,-0.002211411,0.00400534,0.018937935,-0.001276454,2007-04,2007-Q2,231500,-0.025485961,2006-05
8/31/2018,64439,16063,PA,Pittsburgh,Butler,Zelienople,9286,203700,0.001967536,0.010918114,0.093984962,0.040973144,0.02570954,2018-08,2018-Q3,203700,0,2018-08
8/31/2018,82409,55731,MN,Duluth,Saint Louis,Ely,9287,124400,0.000804505,0.014681892,0.128856624,0.025425398,0.023058898,2018-08,2018-Q3,124400,0,2018-08
8/31/2018,81267,53181,WI,Chicago-Naperville-Elgin,Kenosha,Twin Lakes,9288,219100,-0.001367366,0.029605263,0.140551796,0.082059294,0.010396942,2018-07,2018-Q3,219400,-0.001367366,2018-07
8/31/2018,71713,31901,GA,Columbus,Muscogee,Columbus,9289,91300,-0.002185792,0.024691358,0.112058465,0.047541671,-0.013426527,2008-03,2008-Q1,108100,-0.155411656,2006-06
8/31/2018,86103,63552,MO,,Macon,Macon,9290,115700,0,-0.000863558,0.05952381,0.051989498,0.023520163,2018-06,2018-Q2,115800,-0.000863558,2018-06
8/31/2018,87030,66007,KS,Kansas City,Leavenworth,Basehor,9291,235700,0,0.000849257,0.034679543,0.042954214,0.017069546,2018-06,2018-Q2,236000,-0.001271186,2018-06
8/31/2018,73288,35051,AL,Birmingham-Hoover,Shelby,Columbiana,9292,166600,0.003010235,0.007255139,0.118120805,0.040409081,0.011650526,2018-08,2018-Q3,166600,0,2018-08
8/31/2018,68550,25303,WV,Charleston,Kanawha,South Charleston,9293,107000,0.000935454,-0.009259259,-0.050576752,0.005714658,0.011245933,2017-08,2017-Q3,112700,-0.050576752,2016-04
8/31/2018,81581,54140,WI,Appleton,Outagamie,Little Chute,9294,145900,-0.001368925,-0.001368925,0.024578652,0.037250986,0.014922107,2018-06,2018-Q2,146200,-0.002051984,2018-05
8/31/2018,61095,8530,NJ,New York-Newark-Jersey City,Hunterdon,Lambertville,9295,393500,-0.002534854,0.001017553,0.053265525,0.027551504,0.007298606,2007-03,2007-Q1,399900,-0.016004001,2005-07
8/31/2018,63529,14445,NY,Rochester,Monroe,East Rochester,9296,109500,-0.005449591,-0.004545455,-0.0625,0.035512859,0.020643904,2016-11,2016-Q4,127400,-0.140502355,2016-03
8/31/2018,59070,3244,NH,Manchester-Nashua,Hillsborough,Hillsborough,9297,190200,-0.001574803,0.013859275,0.089971347,0.055989958,0.00430173,2007-01,2007-Q1,201600,-0.056547619,2005-03
8/31/2018,63546,14472,NY,Rochester,Monroe,Honeoye Falls,9298,246600,-0.004842615,-0.00283057,-0.035211268,0.031407996,0.015823449,2016-10,2016-Q4,283200,-0.129237288,2016-02
